ISIN,name,fecha_act,vl,moneda,var_dia_%,2015,2016,2017,2018,2019,cat
LU1330191898,Magallanes Value Investors UCITS Iberian Equity R,27/09/2019,121.44,EUR,0.0027,-,0.163,0.14800000000000002,-0.096,0.006,RV España
LU1330191542,Magallanes Value Investors UCITS European Equity R EUR,27/09/2019,120.87,EUR,0.0078000000000000005,-,-,0.191,-0.19399999999999998,0.09699999999999999,RV Europa Cap. Flexible
LU1333148903,Mimosa Capital SICAV Azvalor International R,27/09/2019,113.0,EUR,0.0016,-,0.20800000000000002,0.044000000000000004,-0.11699999999999999,0.017,RV Global  Cap. Flexible
ES0138839032,NB 10 FI,27/08/2019,29.74,EUR,0.0029,0.009000000000000001,0.019,0.006,-0.037000000000000005,0.038,Mixtos Defensivos EUR
ES0115073035,NB Best Managers FI,26/09/2019,197.17,EUR,-0.0017000000000000001,-,0.001,0.102,-0.17300000000000001,0.042,RV Global  Cap. Flexible
ES0138517034,NB Bolsa Selección FI,27/09/2019,13.02,EUR,0.0051,-0.013999999999999999,-0.039,0.09699999999999999,-0.135,0.036000000000000004,RV España
ES0125240038,NB Capital Plus S FI,27/09/2019,1913.9,EUR,0.0002,0.006,0.015,0.013999999999999999,-0.019,0.018000000000000002,RF Diversificada Corto Plazo EUR
ES0137765030,NB Patrimonio S FI,27/09/2019,852.69,EUR,0.0,0.002,0.009000000000000001,0.009000000000000001,-0.040999999999999995,0.031,RF Ultra Corto Plazo EUR
LU0227384020,Nordea 1 - Stable Return Fund BP EUR,30/09/2019,16.97,EUR,0.0024,0.026000000000000002,0.03,0.026000000000000002,-0.057999999999999996,0.071,Mixtos Moderados EUR - Global
LU1279333675,Pictet - Robotics P USD,30/09/2019,174.23,USD,0.0003,-,0.151,0.23199999999999998,-0.066,0.235,RV Sector Tecnología
IE00B11XZ327,PIMCO GIS Global High Yield Bond Fund E Class EUR (Hedged) Accumulation,27/09/2019,23.58,EUR,-0.0004,-0.018000000000000002,0.099,0.043,-0.059000000000000004,0.08900000000000001,RF Bonos Alto Rendimiento Global - EUR Cubierto
LU0203975437,Robeco BP Global Premium Equities D EUR,27/09/2019,277.85,EUR,-0.0004,0.11599999999999999,0.111,0.057999999999999996,-0.107,0.128,RV Global Cap. Grande Blend
LU0554840073,Robeco Global Consumer Trends Equities D,27/09/2019,271.8,USD,-0.009399999999999999,0.163,-0.011000000000000001,0.214,0.005,0.302,RV Sector Consumo
LU0226953718,Robeco Capital Growth Funds-Robeco BP US Premium Equities ClassD USD,27/09/2019,267.93,USD,-0.0014000000000000002,0.113,0.155,0.025,-0.094,0.184,RV USA Cap. Grande Value
LU0975848937,Robeco BP US Select Opportunities Equities D €,27/09/2019,207.08,EUR,-0.0038,0.129,0.16699999999999998,0.004,-0.12300000000000001,0.239,RV USA Cap. Mediana
LU0321373184,Schroder International Selection Fund European Dividend Maximiser B Distribution QF,30/09/2019,42.75,EUR,0.0022,0.024,0.017,0.035,-0.065,0.016,RV Europa Alto Dividendo
LU0390135332,Templeton Asian Smaller Companies Fund A(acc)USD,27/09/2019,44.4,USD,-0.005,0.053,0.062,0.17300000000000001,-0.079,0.035,RV Asia (ex-Japón) Cap. Peq/Mediana
LU0300743431,Templeton Emerging Markets Smaller Companies Fund A(acc)EUR,27/09/2019,14.32,EUR,-0.005600000000000001,0.048,0.062,0.14800000000000002,-0.113,0.044000000000000004,RV Global Emergente  Cap. Peq/Med
LU0252652382,Templeton Global Bond Fund A(acc)USD,27/09/2019,29.66,USD,-0.0005,0.054000000000000006,0.075,-0.102,0.067,0.03,RF Global
LU0152980495,Templeton Global Bond Fund A(acc)EUR,27/09/2019,27.1,EUR,-0.0026,0.054000000000000006,0.077,-0.10400000000000001,0.063,0.034,RF Global
LU0294221097,Templeton Global Total Return Fund A(acc)EUR-H1,27/09/2019,19.55,EUR,0.0,-0.057,0.052000000000000005,0.013000000000000001,-0.034,-0.046,RF Global - EUR Cubierto
LU0033050237,UBS (Lux) Bond Fund - EUR Flexible P-acc,27/09/2019,439.11,EUR,-0.0026,0.0,0.026000000000000002,0.001,0.001,0.105,RF Diversificada EUR
ES0182772006,Valor Global FI,27/09/2019,8.91,EUR,0.0013,-,-,-0.01,-0.149,0.054000000000000006,Mixtos Flexibles EUR - Global
IE00B99K4563,Neuberger Berman Emerging Market Debt - Hard Currency Fund USD I Accumulating Class,27/09/2019,14.15,USD,0.0009,0.1,0.154,0.002,-0.012,0.166,RF Global Emergente
LU1161086159,Amundi Funds - Emerging Markets Blended Bond A EUR (C),27/09/2019,186.04,EUR,0.0014000000000000002,0.021,0.102,0.045,-0.07400000000000001,0.083,RF Global Emergente - Sesgo EUR
LU0260085492,Jupiter Global Fund - Jupiter European Growth Class L EUR Acc,27/09/2019,38.28,EUR,0.001,0.298,-0.10800000000000001,0.19899999999999998,-0.047,0.213,RV Europa Cap. Grande Growth
LU0915365364,Nordea 1 - Flexible Fixed Income Fund BP EUR,30/09/2019,109.59,EUR,-0.0005,0.013999999999999999,0.01,0.011000000000000001,-0.013999999999999999,0.047,RF Flexible Global-EUR Cubierto
